"BEVOEGD GEZAG NUMMER","BEVOEGD GEZAG NAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","KVK-NUMMER","ADMINISTRATIEKANTOORNUMMER"
"60985","Stichting voor Christelijk Primair Onderwijs Lelystad","Meentweg","14-A","8224 BP","LELYSTAD","0995","LELYSTAD","Protestants-Christelijk","0320767600","www.scpo-lelystad.nl","Postbus","223","8200 AE","LELYSTAD","40059338","780"
"60997","Stg. Alkmaarse Kath. Scholen, stg. kath., p-c/int.conf. ond.","Helderseweg","14","1815 AB","ALKMAAR","0361","ALKMAAR","Rooms-Katholiek","0725403044","www.saks.nl","Helderseweg","14","1815 AB","ALKMAAR","41238611","136"
"61284","Stichting Primair Onderwijs De Liemers","Voltastraat","21","6902 PT","ZEVENAAR","0299","ZEVENAAR","Samenwerking Opb., PC, RK","0316226514","www.spodeliemers.nl","Voltastraat","21","6902 PT","ZEVENAAR","41046864","744"
"61661","Ned. Ger. Schoolvereniging voor Kampen-IJsselmuiden e.o.","Wederiklaan","1","8265 DA","KAMPEN","0166","KAMPEN","Protestants-Christelijk","0383321581","","Wederiklaan","1","8265 DA","KAMPEN","40060403","638"
"61751","Stg. Christelijk Onderwijs Twenterand en Omstreken","Schoolstraat","5","7671 GG","VRIEZENVEEN","1700","TWENTERAND","Protestants-Christelijk","0546578962","www.sco-t.nl","Postbus","89","7670 AB","VRIEZENVEEN","40074084","722"
"61752","Stichting Vrije School Amstelveen","Lindenlaan","336","1185 NK","AMSTELVEEN","0362","AMSTELVEEN","Antroposofisch","0206438556","www.vrijeschoolparcival.nl","Postbus","2147","1180 EC","AMSTELVEEN","41198951","401"
"61829","Vereniging voor Christelijk Onderwijs Haren en Onnen","Wederikweg","19","9753 AA","HAREN GN","0017","HAREN","Protestants-Christelijk","0505348190","www.cbsdeborg.nl","Postbus","96","9750 AB","HAREN GN","40023294","951"
"61960","Stichting Samenwerkende Vrijescholen Zuid-Holland","Vredehofweg","30","3062 EP","ROTTERDAM","0599","ROTTERDAM","Antroposofisch","0104526519","www.svzh.nl","Vredehofweg","30","3062 EP","ROTTERDAM","41145397","722"
"62571","Ver. tot Opricht. & Instandh. van een School met de Bijbel","Wijkstraat","4","7695 TJ","BRUCHTERVELD","0160","HARDENBERG","Protestants-Christelijk","0523231210","www.cbsdewiekslag.nl","Emtenbroekerdijk","9-A","7695 TT","BRUCHTERVELD","40060154","715"
"62584","Stichting 'De Vrije School Almere'","Lierstraat","7","1312 JZ","ALMERE","0034","ALMERE","Antroposofisch","0324034043","www.vrijeschool-almere.nl","Lierstraat","7","1312 JZ","ALMERE","41022811","722"
"62662","Stichting Protestants Christelijk Onderwijs Utrecht","Kaap Hoorndreef","66","3563 AW","UTRECHT","0344","UTRECHT","Protestants-Christelijk","0302723123","www.pcou.nl","Postbus","9419","3506 GK","UTRECHT","41179972","674"
"62778","Stichting Katholiek Onderwijs Maasland","Meester Postlaan","5","3155 BM","MAASLAND","1842","MIDDEN-DELFLAND","Rooms-Katholiek","0105917116","www.aloysiusmaasland.nl","Postbus","45","3155 ZG","MAASLAND","41141117","136"
"62818","Schoolver. v. Basisonderw. in Wageningen","Roghorst","94","6708 KP","WAGENINGEN","0289","WAGENINGEN","Algemeen bijzonder","0317415046","www.piekschool.nl","Postbus","296","6700 AG","WAGENINGEN","40122058","606"
"63039","'t Blokhuus","Frans Tromplaan","49","3871 EM","HOEVELAKEN","0267","NIJKERK","Algemeen bijzonder","0332534850","www.blokhuus.nl","Frans Tromplaan","49","3871 EM","HOEVELAKEN","40094609","606"
"63091","Ver. v. Prot. Chr. Basisond. te Notter-Zuna","Klokkendijk","16","7467 PD","NOTTER","0189","WIERDEN","Protestants-Christelijk","0548518988","www.notter-zuna.nl","Klokkendijk","16","7467 PD","NOTTER","40075155","722"
"64169","Katholieke Stichting voor Onderwijs te Oude Tonge","Julianastraat","13","3255 BG","OUDE-TONGE","1924","GOEREE-OVERFLAKKEE","Rooms-Katholiek","0187642181","www.kbsnobelaer.nl","Postbus","65","3255 ZH","OUDE-TONGE","41118426","136"
"65287","Dr. Schaepmanstichting","Enschedesestraat","68","7551 EP","HENGELO OV","0164","HENGELO","Rooms-Katholiek","0742424545","www.drschaepmanstichting.nl","Enschedesestraat","68","7551 EP","HENGELO OV","41028016","722"
"65430","Stichting Kath. Onderw. Soest-Soesterb.","Nijverheidsweg","13","3762 EP","SOEST","0342","SOEST","Rooms-Katholiek","0356211530","www.skoss.nl","Postbus","258","3760 AG","SOEST","41188573","706"
"65768","Stichting Katholiek Onderwijs Achterveld","Walter van Amersfoortstr","38","3791 AR","ACHTERVELD","0327","LEUSDEN","Rooms-Katholiek","0342451956","www.jozefachterveld.nl","Postbus","13","3790 CA","ACHTERVELD","41188688","638"
"68329","Stichting Katholiek Onderwijs Wassenaar","Thorbeckestraat","37","2241 KR","WASSENAAR","0629","WASSENAAR","Rooms-Katholiek","0705116379","www.bsjozef.nl","Postbus","2012","2240 CA","WASSENAAR","41150861","098"
"68836","Stichting Katholiek Onderwijs Twenterand","Molenstraat","122","7622 NG","BORNE","0147","BORNE","Rooms-Katholiek","0547385810","www.skot.nl","Postbus","185","7620 AD","BORNE","41027375","722"
"69447","Het Sticht, Sticht. Katholiek/Algemeen Bijz. Primair Onderw.","Laan van Vollenhove","3045","3706 AL","ZEIST","0355","ZEIST","Rooms-Katholiek","0306939464","www.hetsticht.nl","Laan van Vollenhove","3045","3706 AL","ZEIST","41177647","638"
"69539","Stg. Protestants Christelijk Onderwijs Etten-Leur","Tamboerijn","9","4876 BS","ETTEN-LEUR","0777","ETTEN-LEUR","Protestants-Christelijk","0765034880","http://pco-ettenleur.nl/","Postbus","283","4870 AG","ETTEN-LEUR","41103030","706"
"69643","Vereniging voor Reformatorisch Onderwijs","De Schans","9","3351 RV","PAPENDRECHT","0590","PAPENDRECHT","Reformatorisch","0786153001","","De Schans","9","3351 RV","PAPENDRECHT","40321893","165"
"69669","Vereniging voor Christ. Onderw. Groningen","Eenrumermaar","4","9735 AD","GRONINGEN","0014","GRONINGEN","Protestants-Christelijk","0505713735","www.vcog.nl","Postbus","9401","9703 LP","GRONINGEN","40023004","867"
"69799","Katholieke Stichting Willibrordus","Frans Halsstraat","2","3262 HG","OUD-BEIJERLAND","0584","OUD-BEIJERLAND","Rooms-Katholiek","0186613456","www.willibrordusschool.com","Postbus","80","3360 AB","SLIEDRECHT","41118166","136"
"69877","Vereniging voor Primair Christelijk Onderwijs H'veen","Stoekeplein","8-A","7902 HM","HOOGEVEEN","0118","HOOGEVEEN","Protestants-Christelijk","0528234494","www.pricoh.nl","Stoekeplein","8-A","7902 HM","HOOGEVEEN","40045058","715"
"70002","Stichting Kalisto Boei. Basisonderwijs!","Pelmolenlaan","12","3447 GW","WOERDEN","0632","WOERDEN","Rooms-Katholiek","0348408985","www.kalisto-basisonderwijs.nl","Postbus","2075","3440 DB","WOERDEN","30154088","413"
"70033","Vereniging Jenaplan Stichtsevecht","Drie Stammenweg","2","3628 BW","KOCKENGEN","1904","STICHTSE VECHT","Algemeen bijzonder","0346241773","www.jenaplanstichtsevecht","Drie Stammenweg","2","3628 BW","KOCKENGEN","40476247","606"
"70085","Stichting Hervormde Scholen voor Basisonderwijs","Pr Willem-Alexanderpark","602","3905 DR","VEENENDAAL","0345","VEENENDAAL","Protestants-Christelijk","0318511097","www.gavescholen.nl","Postbus","1109","3900 BC","VEENENDAAL","41177227","165"
"70176","Stichting Christel. Onderwijs Haaglanden","Laan van Meerdervoort","70","2517 AN","'S-GRAVENHAGE","0518","S GRAVENHAGE","Protestants-Christelijk","0703118787","www.scoh.nl","Postbus","18546","2502 EM","'S-GRAVENHAGE","41149716",""
"70280","Ver. v. Prot.-Chr. Basisond.","Knotwilgenlaan","9","3471 JA","KAMERIK","0632","WOERDEN","Protestants-Christelijk","0348402794","","Knotwilgenlaan","9","3471 JA","KAMERIK","40477193","136"
"70358","Stg. th Verstr. C.o. op G.G., uitgaande van de Geref. G.i.N.","Zuidvlietstraat","140","4461 HB","GOES","0664","GOES","Protestants-Christelijk","0113211984","","Zuidvlietstraat","140","4461 HB","GOES","41113526","165"
"70644","R.K. Onderwijsstichting Giesbeek-Lathum","Kerkstraat","68","6987 AD","GIESBEEK","0299","ZEVENAAR","Rooms-Katholiek","0313631273","www.paulusschool-giesbeek.nl","Kerkstraat","68","6987 AD","GIESBEEK","41047923","744"
"71008","Stichting Leerrijk!","Prof. Eykmanweg","7-B","5144 ND","WAALWIJK","0867","WAALWIJK","Rooms-Katholiek","0416320768","www.leerrijk.nl","Prof. Eykmanweg","7-B","5144 ND","WAALWIJK","41099580","949"
"71242","Deventer Leerschool","Brinkpoortstraat","7","7411 HR","DEVENTER","0150","DEVENTER","Algemeen bijzonder","0570616801","www.deventerleerschool.nl","Postbus","159","7000 AD","DOETINCHEM","40650570","744"
"71463","Ver. Alg. Bijz. Basisonderwijs 'De Opbouw'","Burg Praamsmalaan","34","8701 AP","BOLSWARD","1900","SUDWEST-FRYSLAN","Algemeen bijzonder","0515575856","jenaplanschooldeopbouw.nl","Burg Praamsmalaan","34","8701 AP","BOLSWARD","40001725","780"
"71488","Stg. v. Kath. Primair Onderw. Amersfoort en Omstreken","Amsterdamseweg","41","3812 RP","AMERSFOORT","0307","AMERSFOORT","Rooms-Katholiek","0332570645","www.kpoa.nl","Postbus","930","3800 AX","AMERSFOORT","41188779",""
"71502","Stichting voor Freinetonderwijs in Utrecht","Kruisdwarsstraat","6","3581 GL","UTRECHT","0344","UTRECHT","Algemeen bijzonder","0302317488","www.nieuweregentesseschool.nl","Kruisdwarsstraat","6","3581 GL","UTRECHT","40478935","136"
"71515","Ver. tot Stg. en Instandhoud. van een School met de Bijbel","Nieuwstraat","9","3474 JL","ZEGVELD","0632","WOERDEN","Protestants-Christelijk","0348691466","www.jorai.nl","Hoofdweg","63","3474 JB","ZEGVELD","40479392","136"
"71749","Stichting Primair Onderwijs Peelraam","Dorpsstraat","11","5446 AM","WANROIJ","1702","SINT ANTHONIS","Rooms-Katholiek","0485471811","www.peelraam.nl","Postbus","44","5450 AA","MILL","41082114",""
"71956","Stichting Primair Onderwijs de Linge","Polseweg","13","6851 DA","HUISSEN","1705","LINGEWAARD","Rooms-Katholiek","0263179930","www.delinge.nl","Postbus","42","6850 AA","HUISSEN","41055488","952"
"72087","De Vrije School Utrecht Coöperatief UA","Hieronymusplantsoen","3","3512 KV","UTRECHT","0344","UTRECHT","Antroposofisch","0302319209","www.vrijeschoolutrecht.nl","Hieronymusplantsoen","3","3512 KV","UTRECHT","41179771","722"
"72100","Ver. Willem de Zwijgerschool voor Christelijk Onderwijs","Gentsestraat","124","2587 HZ","'S-GRAVENHAGE","0518","S GRAVENHAGE","Protestants-Christelijk","0703557484","www.wdzscheveningen.nl","Postbus","80","3360 AB","SLIEDRECHT","40410687","136"
"72242","Stichting R.K. Onderwijs Aerdenhout","Teding van Berkhoutlaan","20","2111 ZC","AERDENHOUT","0377","BLOEMENDAAL","Rooms-Katholiek","0235240508","www.antoniusschool.com","Teding van Berkhoutlaan","20","2111 ZC","AERDENHOUT","41223193","098"
"72386","Ver. tot Stg. & Inst.houding SmdB voor B.O. Ooltgensplaat","Pieter Biggestraat","11","3257 AR","OOLTGENSPLAAT","1924","GOEREE-OVERFLAKKEE","Protestants-Christelijk","0187631485","www.hoeksteen-ooltgensplaat.nl","Postbus","59","3257 ZH","OOLTGENSPLAAT","40323263","413"
"72554","Stichting R.K. Prim. Onderwijs Culemborg","Irene Vorrinkstraat","19","4105 JA","CULEMBORG","0216","CULEMBORG","Rooms-Katholiek","0345532202","www.rk-schoolbestuur.nl","Postbus","5040","3502 JA","UTRECHT","41059408","706"
"72750","Vereniging Jenaplanschool Gorkum","Traverse","18","4207 GG","GORINCHEM","0512","GORINCHEM","Algemeen bijzonder","0183626349","www.jenaplangorkum.nl","Postbus","80","3360 AB","SLIEDRECHT","40323092","136"
"72853","Stichting Katholiek Onderwijs Volendam","Heideweg","2","1132 DB","VOLENDAM","0385","EDAM-VOLENDAM","Rooms-Katholiek","0299399290","www.deskov.nl","Postbus","23","1130 AA","VOLENDAM","41234200","291"
"73191","Stichting Nuwelijn","Schoolstraat","5","5124 RM","MOLENSCHOT","0784","GILZE EN RIJEN","Rooms-Katholiek","0161232154","www.nuwelijn.nl","Schoolstraat","5","5124 RM","MOLENSCHOT","41095435",""
"73283","Stichting Katholiek Basisond. De Goede Herder","Montgolfierstraat","71","5703 EB","HELMOND","0794","HELMOND","Rooms-Katholiek","0492599745","www.bs-goedeherder.nl","Montgolfierstraat","71","5703 EB","HELMOND","41088860","401"
"73556","Stichting Sint Albertus","Dorpsstraat","28","5298 CB","LIEMPDE","0757","BOXTEL","Rooms-Katholiek","0411637040","www.oversteekliempde.nl","Dorpsstraat","28","5298 CB","LIEMPDE","41080054","638"
